"internal_id","qualtrics_site","qualtrics_participant","qualtrics_datefirsttest","qualtrics_countryname","qualtrics_userlanguage","qualtrics_language","calc_duplicateflag","calc_numeracycomplete","qualtrics_gendern","calc_agegiven","calc_ageams","calc_agediff","calc_yeardiff","internal_needstobechecked","calc_agegroupgiven","calc_agegroupams","task_demographics","task_given","task_highestcount","file_ams","task_ams","task_vm","qualtrics_notes"
"UChiCogDevLab_mn012","UChiCogDevLab","mn012","08/05/2026","United States","EN","English",0,3,"female",4.148,4.083,0.0649999999999995,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",""
"UChiCogDevLab_mn013","UChiCogDevLab","mn013","08/05/2026","United States","EN","English",0,3,"male",4.049,4,0.0490000000000004,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",""
"UChiCogDevLab_mn014","UChiCogDevLab","mn014","08/08/2026","United States","EN","English",0,3,"female",3.633,3.583,0.0499999999999998,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",""
"UChiCogDevLab_mn015","UChiCogDevLab","mn015","Partially completed; 08/08/2026","United States","EN","Spanish/English",0,1,"male",2.542,NA,NA,NA,NA,"agegroup1",NA,"1","0","1",NA,NA,NA,"This is a partial data submission for a child who completed Highest Count and the first three trials of Give-N before electing to not continue.  Their parent believed this participant would not have the attention required to attempt the computer tasks at this session (or any session in the near future), so neither the AMS nor Visual Memory tasks were administered."
"UChiCogDevLab_mn016","UChiCogDevLab","mn016","08/10/2026","United States","EN","English",0,3,"male",2.767,2.75,0.0169999999999999,0,0,"agegroup1","agegroup1","1","1","1","1","48","1",""
"UChiCogDevLab_mn017","UChiCogDevLab","mn017","08/10/2026","United States","EN","English",0,3,"male",2.901,2.833,0.0679999999999996,0,0,"agegroup1","agegroup1","1","1","1","1","48","1",""
"UChiCogDevLab_mn018","UChiCogDevLab","mn018","08/10/2026","United States","EN","English",0,3,"male",2.866,2.833,0.0329999999999999,0,0,"agegroup1","agegroup1","1","1","1","1","48","1",""
"UChiCogDevLab_mn021","UChiCogDevLab","mn021","08/13/2026","United States","EN","English",0,3,"female",5.537,5.5,0.0369999999999999,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",""
"UChiCogDevLab_mn022","UChiCogDevLab","mn022","08/13/2026","United States","EN","English",0,3,"female",5.537,5.5,0.0369999999999999,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",""
"UChiCogDevLab_mn023","UChiCogDevLab","mn023","08/13/2026","United States","EN","English, Telegu",0,3,"female",2.638,2.583,0.0549999999999997,0,0,"agegroup1","agegroup1","1","1","1","1","48","1",""
"UChiCogDevLab_mn025","UChiCogDevLab","mn025","08/20/2026","United States","EN","English",0,2,"male",4.493,NA,NA,NA,NA,"agegroup2",NA,"1","1","1",NA,NA,NA,""
"UChiCogDevLab_mn026","UChiCogDevLab","mn026","08/20/2026","United States","EN","English",0,3,"female",4.753,4.75,0.00300000000000011,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",""
"UChiCogDevLab_mn027","UChiCogDevLab","mn027","08/20/2026; child partially completed Give-N task","United States","EN","English",0,2,"male",2.959,2.917,0.0420000000000003,0,0,"agegroup1","agegroup1","1","0","1","1","48","1","This is a submission of partially-complete data; while the participant completed the Highest Count, AMS, and Visual Memory tasks, they do not have full data for Give-N (after no longer responding past trial #12)."
"UChiCogDevLab_mn028","UChiCogDevLab","mn028","08/21/2026","United States","EN","English",0,3,"male",3.833,3.75,0.0830000000000002,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",""
"UChiCogDevLab_mn029","UChiCogDevLab","mn029","08/21/2026","United States","EN","English",0,3,"female",5.603,5.583,0.0199999999999996,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",""
"UChiCogDevLab_mn030","UChiCogDevLab","mn030","08/21/2026","United States","EN","English",0,3,"female",3.299,3.25,0.0489999999999999,0,0,"agegroup1","agegroup1","1","1","1","1","48","1",""
"UChiCogDevLab_mn031","UChiCogDevLab","mn031","08/21/2026","United States","EN","English",0,3,"female",3.874,3.833,0.0409999999999999,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",""
"UChiCogDevLab_mn032","UChiCogDevLab","mn032","08/28/2026","United States","EN","English",0,3,"female",5.625,5.583,0.0419999999999998,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",""
"UChiCogDevLab_mn033","UChiCogDevLab","mn033","09/01/2026","United States","EN","English",0,3,"male",3.468,3.417,0.0510000000000002,0,0,"agegroup1","agegroup1","1","1","1","1","48","1",""
"UChiCogDevLab_mn034","UChiCogDevLab","mn034","09/02/2026","United States","EN","English",0,1,"female",2.797,NA,NA,NA,NA,"agegroup1",NA,"1","0","1",NA,NA,NA,"This is a submission of partial data.  This participant completed Highest Count and Give-N, but quit very near the beginning of the AMS/Visual Memory computer tasks."
"UChiCogDevLab_mn035","UChiCogDevLab","mn035","09/02/2026","United States","EN","English",0,3,"male",3.578,3.5,0.0779999999999998,0,0,"agegroup2","agegroup2","1","1","1","1","48","1",""
